what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem,2.0.300.v200901272200,"org.eclipse.jem",1299495249484
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1299495249515
started,bundle,org.eclipse.jst.jee,1.0.201.v200909030330,"org.eclipse.jst.jee",1299495249546
started,bundle,com.genuitec.eclipse.ws,8.5.0.me201003180050,"com.genuitec.eclipse.ws",1299495249593
started,bundle,com.genuitec.eclipse.ws.blue,8.5.0.me201003180050,"com.genuitec.eclipse.ws.blue",1299495252625
started,bundle,com.genuitec.eclipse.ws.xfire.framework,8.5.0.me201003052220,"com.genuitec.eclipse.ws.xfire.framework",1299495252625
started,bundle,com.genuitec.eclipse.ws.xfire,8.5.0.me201003052220,"com.genuitec.eclipse.ws.xfire",1299495252625
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1299495252625
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1299495252640
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.0.20100209-0800,"org.maven.ide.eclipse.maven_model_edit",1299495252656
started,bundle,org.maven.ide.eclipse,0.10.0.me201003212033,"org.maven.ide.eclipse",1299495252656
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1299495252656
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1299495252671
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1299495252671
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1299495252671
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1299495252671
started,bundle,org.eclipse.jst.j2ee,1.1.301.v200909030330,"org.eclipse.jst.j2ee",1299495252671
started,bundle,org.maven.ide.eclipse.editor,0.10.0.20100209-0800,"org.maven.ide.eclipse.editor",1299495252671
started,bundle,org.maven.ide.eclipse.jdt,0.10.0.me201003200749,"org.maven.ide.eclipse.jdt",1299495252671
started,bundle,org.maven.ide.eclipse.refactoring,0.10.0.me201003160712,"org.maven.ide.eclipse.refactoring",1299495252671
started,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1299495252671
started,bundle,org.eclipse.wst.common.environment,1.0.301.v200908101600,"org.eclipse.wst.common.environment",1299495252671
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1299495255656
started,bundle,com.genuitec.eclipse.maven,8.5.0.me201003232017,"com.genuitec.eclipse.maven",1299495255718
started,bundle,org.eclipse.birt.report.debug.ui,2.5.2.me201003052220,"org.eclipse.birt.report.debug.ui",1299495255734
